Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8386    0.011    0.000    0.029    0.000 auto_control_deps_utils.py:108(<genexpr>)
     6666    0.011    0.000    0.028    0.000 op_def_library.py:187(_MakeType)
     3158    0.011    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    17858    0.011    0.000    0.016    0.000 ops.py:5397(_colocation_stack)
 1795/191    0.010    0.000    0.027    0.000 sre_compile.py:87(_compile)
     1210    0.010    0.000    0.013    0.000 threading.py:90(RLock)
       67    0.010    0.000    0.012    0.000 {method 'readlines' of '_io._IOBase' objects}
      176    0.010    0.000    8.474    0.048 data_adapter.py:232(__init__)
    16036    0.010    0.000    0.030    0.000 nest.py:256(_yield_value)
     1198    0.010    0.000    0.093    0.000 func_graph.py:93(encode_arg)
      188    0.010    0.000   50.683    0.270 monomorphic_function.py:341(call)
    16832    0.010    0.000    0.038    0.000 traceback_utils.py:32(is_traceback_filtering_enabled)
     8434    0.010    0.000    0.029    0.000 dataset_ops.py:6541(_resource_resolver)
     1624    0.010    0.000    0.010    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphSetTensorShape_wrapper}
      420    0.010    0.000    0.028    0.000 resource_variable_ops.py:335(__init__)
      281    0.010    0.000    0.017    0.000 decorator_utils.py:31(_normalize_docstring)
     8856    0.010    0.000    0.010    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationNumOutputs}
    10750    0.010    0.000    0.028    0.000 ops.py:220(uid)
     1107    0.010    0.000    0.080    0.000 dispatch.py:547(add_type_based_api_dispatcher)
     8857    0.010    0.000    0.035    0.000 threading.py:389(notify_all)
    42152    0.010    0.000    0.039    0.000 object_identity.py:203(<listcomp>)
     7311    0.010    0.000    0.118    0.000 typing.py:1425(_is_callable_members_only)
     2944    0.010    0.000    0.022    0.000 distribution_strategy_context.py:76(_get_per_thread_mode)
      352    0.010    0.000    0.272    0.001 dataset_ops.py:5792(__init__)
     7156    0.010    0.000    0.033    0.000 ops.py:6832(__exit__)
